Post,Comments
Admissions Open Fall '19 Apply online: https://itu.edu.pk (Music: The Piano Guys-Ants Marching (Ode to Joy) Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed Shagufha Rathore,"{'Ali Ismail': {'text': 'Media sciences program?'}, 'Sikandar Saeed': {'text': 'Can I get admission wirh 2.45 CGPA in masters data science?'}}"
" Under the ongoing Student Development Program by QEC at ITU, an interactive seminar on Mental Health Awareness is set to take place on Thursday, June 27, 2019.  Proposed Outcomes :... At the end of this seminar, participants will be able to do the following: Understand the impact of a mental illness. Learn about the symptoms and warning signs of common mental health problems. Increased understanding of challenges faced by people experiencing mental health difficulties. Gaining knowledge about rise of mental health issues in Pakistan. Develop strategies for helping themselves or others who are suffering from a mental illness.","{'Syeda Adeeba Shah': {}, 'Zubair Khan': {}}"
 Join Dr. Ibrahim Siawash in an exciting summer course on Certified Mindful Happiness! https://itu.edu.pk/sct/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad Shoaib Bhatti,{}
 Updated schedule: https://itu.edu.pk/sct/deadline-and-schedule/... Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad Shoaib Bhatti,"{'Cyphalanx': {'text': 'ethical hacking, software development and networking in urdu:https://www.youtube.com/genXhackshttps://www.facebook.com/genXhacks'}, 'Aizaz': {}}"
 Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Ambreen Tahir Farooq': {'text': 'What about Roll no slip????'}, 'Chaudhry Usman Maqbool': {'text': 'CS Or IT Ka Last Merit Kia ha?'}}"
 Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Zainab Zahra': {'text': ""I have applied for MS degree but didn't get a single confirmation message / email about test date and fee...""}, 'Shehzad Ali': {}}"
#JoinITU Admissions Open Fall ‘19. Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Zubair Zaheer': {'text': 'date extended ?? !!!'}, 'Muhammad Hannan': {'text': 'tell me about merit and fee criteria'}}"
"ITU student achieves recognition... Congratulations to our BSMT ‘17 student Jaleed Sultan on securing a role as Project Manager at Cogite Co-working Space. It is rated third-best in the world by Forbes 2016 and has been running since 7 years, being the first one ever in Tunisia. Jaleed will be working at Cognite over summer holidays.  Zaheer Sarwar Farzana Shahid Hajira Kureshi Bashir Ahmad Khan","{'Mudassir Bhutta': {}, 'Moeez Imran': {}}"
"#JoinITU Director Admissions, Ms. Hajira Kureshi, appeared in ITU FM90.4's leading show today where she highlighted world-class research facilities, faculty and academic programs offered by ITU.  Led by Ms. Kureshi, our highly competitive admissions cycle is  drawing to a close soon. Join ITU! ... Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Ali Bukhari",{'Muhammad Hannan': {'text': 'tell about merit and fee criteria'}}
 Join Dr. Ibrahim Siawash in an exciting summer course on Certified Mindful Happiness! https://itu.edu.pk/sct/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad Shoaib Bhatti,"{'Arifa Aziz': {'text': 'Pls let me know the time and date and admission fee'}, 'Tayyab Iqbal': {'text': 'Assalamu AlaikumCan i know the open hours of admission office of ITU??I have to show them my bank deposit fee slip'}}"
#JoinITU Admissions Open Fall ‘19. Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Mehreen Imtiaz': {'text': 'Islambad campus??'}, 'Hassan Ahmad Alvi': {'text': 'I applied for it and sent challan by post to them but I still not get any update by them,no slip,no test date,..when they will proceed further?'}}"
Mark your calendars!  Ms. Hajira Kureshi (Director Admissions ITU) will be our guest tomorrow with RJ Seemal and will let you know all about ITU's Admission Cycle and Process.  Tune in to ITU FM 90.4 tomorrow at 02:15 PM. ,{'Midadoo Minado': {}}
#JoinITU #ITUStudentDiaries Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Shagufha Rathore,"{'Mian Talha Aslam': {'text': 'Irtza Javaid nice man 👍'}, 'Ahsan Ejaz': {}}"
" Dr. Khurram Bhartti has published his research paper for IEEE Conference on Communications and Network Security (Washington, D.C.. USA). It is titled, ""Sherlock Holmes of Cache Side-Channel Attacks in Intel’s x86 Architecture"".  https://cns2019.ieee-cns.org/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Khurram Bhatti Tauseef Tauqeer","{'Muhammad Ajmal Khan': {}, 'Muhammad Rafay': {}}"
#JoinITU Admissions Open Fall ‘19. Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Muhammad Rehan': {'text': 'Mubeen Ahmad Khan check'}, 'Anas Khan': {'text': 'Arsalan Ghani Muhammad Wajahat Raayyan Gandapur etha v computer science h'}}"
,{}
" As this high-octane contest is all set to take place today, ITU sends best wishes from Lahore to Manchester! #CWC19 #WeHaveWeWill ... Zaheer Sarwar Farzana Shahid Hajira Kureshi","{'Mehdi Hasan': {'text': 'We had started the contest as a looser.'}, 'Aamir Tufail': {}}"
ITU wishes you a Happy Father's Day!  Zaheer Sarwar Farzana Shahid Hajira Kureshi,{}
#JoinITU Admissions Open Fall ‘19. Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Ali Tarar': {'text': 'How much fee is for BS Computer science'}, 'Naveed Ahmad': {'text': 'Is ki BS KI registration fee ktni ha'}}"
"ITU student makes his mark... Congratulations to our BSMT-17 Student Gohar Javaid who has been selected by the University of Massachusetts for the ""Study of US Institutes for Student Leaders on Comparative Public Policy making"". Study of the U.S. Institute for Student Leaders on Comparative Public Policymaking is an intensive... short term academic program - sponsored by the U.S State Department; whose purpose is to provide groups of undergraduate student leaders with a deeper understanding of the United States, while simultaneously enhancing their leadership skills. Zaheer Sarwar Farzana Shahid Hajira Kureshi Bashir Ahmad Khan Maryam Batool","{'Abdul Karim Malik': {'text': 'This is amazing news. Congratulations to Gohar and the business school faculty.'}, 'Narmeen Iftikhar': {}}"
" Dr. Saeed Ul Hassan's article has been accepted for publication in IEEE Transactions Knowledge and Data Engineering (TKDE) - a top tier journal in the field of Information Systems. It is titled, ""Automatic Classification of Algorithm Citation Functions in Scientific Literature"".  Zaheer Sarwar Farzana Shahid Hajira Kureshi Saeed Ul Hassan","{'Junaid Baber': {}, 'Tahir Parwaz': {}}"
#JoinITU Admissions Open Fall ‘19. Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Muhammad Khubaib': {}, 'Muhammad Zakee': {'text': 'what was the closing merit of BSCS 2018 ??'}}"
#JoinITU Admissions Open Fall ‘19. Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Ayesha Khan': {'text': 'Sir my MS is in Physics.... but my research work and courses are same as mentioned in PhD Electrical Engineering.... can i apply for PhD engineering????'}, 'Saif Ullah Khalid': {'text': 'MS Cs without thesis is eligible for applying in PhD?'}}"
 Stay connected for more details and regular updates! https://itu.edu.pk/sct/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad Shoaib Bhatti,"{'Ali Raza': {}, 'Aman Khalil Mughal': {}}"
" Course Title: Acting Instructor: Sobia Zaidi This 5-week course in acting is designed for anyone who wants to learn acting. The participants will learn movement, voice, speech/ articulation visualization and sensory exercises and emotional memory under physical and mental preparation of an actor on building a character. What makes this course unique is that the participants will learn the skills of acting through the process of acting. They will not only learn fundamentals of acting but also apply that knowledge in practice through a play which will be produced during the course and will be performed in front of an audience at the end of the course. So the participants from day two of the course will be handed over a script to understand the preparation and process of an actor. The course is targeted for both beginners and professionals because it’s focused on the idea and technique of acting as becoming which in fact is never taught formally or informally as part of actor’s training in Pakistan. Stay connected for more details and regular updates! https://itu.edu.pk/sct/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad Shoaib Bhatti Sobia Abbas","{'Sidra Sial': {}, 'Zeeshan Ahmad': {'text': 'https://itu.edu.pk/sct/courses/Mahin Uppal Talha Chaudhry'}}"
#JoinITU Admissions Open Fall ‘19. Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Talha Khan': {'text': 'how to prepare entry test ..??'}, 'Irfan Khan Fani': {}}"
" Want to know about your income tax calculation, filing and saving?  Take an exciting short course on the subject especially designed to cater to all your needs! ... https://itu.edu.pk/sct/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad Shoaib Bhatti","{'Mola Bakhsh Bakhsh': {'text': 'Plz tel me about bs accounting &finance or Adp'}, 'Ahsan FarOoq': {'text': 'I have 2 extra bank draft made for itu short course admission if any need text me!'}}"
#JoinITU  Admissions Open Fall ‘19. Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Shahzad A Zeagum Abas': {}, 'Raza Ali Chaudhry': {}}"
 ITU wishes you a blessed Eid-ul-Fitr. May you all spend joyous time with your family and spread happiness around. Zaheer Sarwar Farzana Shahid Hajira Kureshi,"{'Faisal Nasiri': {}, 'AlTaf Gill': {}}"
 Apply online: https://itu.edu.pk (Music: The Piano Guys-Ants Marching (Ode to Joy) Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed Shagufha Rathore,"{'Abdul-Rehman Abid': {'text': ""ITU=institute of Theeta's University™""}, 'Umair Tanveer': {'text': 'Awais Tanveer Bhai Jan apply Kar de plz'}}"
#JoinITU Admissions Open Fall ‘19. Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Rashid Khan': {}, 'Yousuf Khan': {'text': 'All degree programs are needless  now.International certifications are the need.You can Google about the degree review of Dell, Microsoft, HP, Acer etc.'}}"
Deadline Extended for Short Courses and Certification Trainings  Stay connected for more details and regular updates! https://itu.edu.pk/sct/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad Shoaib Bhatti,"{'Afzaal Arshad': {'text': 'Ayesha Z. Hammaad they are offering Robotics Course as well'}, 'Zunair Arif': {'text': 'Please share schedule and fee of phthon'}}"
ADMISSIONS OPEN: SHORT COURSES & CERTIFICATION TRAININGS Stay connected for more details and regular updates! https://itu.edu.pk/sct/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad Shoaib Bhatti,"{'Azeem Jutt': {'text': 'yar kisi ko pta bank voucher kahan say milna mtlb jb apply krty to fee or  bank draft ki option ati to kesy milna or kahan say?'}, 'Sundus Naureen': {}}"
#JoinITU #ITUStudentDiaries Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Shagufha Rathore,"{'Umar Nazim': {}, 'Ibrahim Siddiqui': {}}"
,"{'M Usman Akram': {}, 'Ali Mehboob Lodhra': {}}"
"ADMISSIONS OPEN: SHORT COURSES & CERTIFICATION TRAININGS Details: Why are works like Lord of the Rings, Star Trek and the Harry Potter series timeless? What makes these stories so compelling? Writers understand the importance of building believable and significant fictional worlds using details and cues that can be learned through practice. This 6-week course looks at the importance of world-building by taking into account cinematic and literary science fictional worlds. At the end of the course, students should be able to produce an original written work. This short course is open for ages 16 – 24.","{'Faisal Mirza': {'text': 'Do ITU accept migration from another university in BSCS Program?'}, 'Mohsin Bhatti': {'text': 'Can u pls confirm timing of CCNA cyber security'}}"
#JoinITU #ITUStudentDiaries Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Shagufha Rathore,{}
,"{'Aqib Saleem': {'text': 'When admission fall for Bs IT 2019 ...plz tell'}, 'Hammad Hassan': {'text': 'Avl Aiy  last date 31 may'}}"
" Abstract:... Dopant-free carrier-selective transition metal oxide (TMO) contacts offer unique electrical properties pertaining to the rectification of doping-related issues in silicon (cSi) solar cell. In this paper, cSi heterojunction solar cell featuring TMOs of molybdenum oxide (MoOx) and titanium oxide (TiOx) as hole- and electron-selective contacts, respectively, have been realized using Silvaco TCAD. The photovoltaic performance has been evaluated based on the electron affinity of TiOx, its thickness, interfacial charge density, band gap, and operating temperature. MoOx with an appropriate work function prompts band bending leading to Fermi level pinning at the top interface. Insertion of TiOx with low electron affinity reduces the rear energy barrier against electrons from 0.86 eV to 0.15 eV. Minimum recombination has been observed for electron affinity values range of 3.6-4.2 eV. The rear interface defects (Dit) should be minimized to reduce the recombination and to facilitate transportation of electrons. The device numerically demonstrated open-circuit voltage (Voc) of 723 mV, short-circuit current density (Jsc) of 39.2 mA/cm2, Fill factor (FF) of 79.8%, and conversion efficiency (η) of 22.64% with a temperature coefficient of -0.08%/°C. These results validate the applicability of heterojunction design with fully-covered carrier-selective contacts that can be useful for industrial applications as it eliminates the need of doped layers with the associated capital-intensive and complicated fabrication processes.  https://itu.edu.pk/faculty-itu/haris-mehmood/","{'Engr Faisal Riaz': {}, 'Shaji M': {}}"
